,center-point,bbox
16,"(33.700000000000003, 133.57606841447722)","(33.48598835819471, 133.39631413857239, 33.914011641805295, 133.75582269038205)"
17,"(33.700000000000003, 133.75582269038205)","(33.48598835819471, 133.57606841447722, 33.914011641805295, 133.93557696628687)"
18,"(33.700000000000003, 133.93557696628687)","(33.48598835819471, 133.75582269038205, 33.914011641805295, 134.1153312421917)"
19,"(33.700000000000003, 134.1153312421917)","(33.48598835819471, 133.93557696628687, 33.914011641805295, 134.29508551809653)"
20,"(33.700000000000003, 134.29508551809653)","(33.48598835819471, 134.1153312421917, 33.914011641805295, 134.47483979400135)"
21,"(33.700000000000003, 134.47483979400135)","(33.48598835819471, 134.29508551809653, 33.914011641805295, 134.65459406990618)"
22,"(33.700000000000003, 134.65459406990618)","(33.48598835819471, 134.47483979400135, 33.914011641805295, 134.83434834581101)"
23,"(33.700000000000003, 134.83434834581101)","(33.48598835819471, 134.65459406990618, 33.914011641805295, 135.01410262171584)"
24,"(33.914011641805295, 130.69999999999999)","(33.700000000000003, 130.52024572409516, 34.128023283610588, 130.87975427590482)"
25,"(33.914011641805295, 130.87975427590482)","(33.700000000000003, 130.69999999999999, 34.128023283610588, 131.05950855180964)"
26,"(33.914011641805295, 131.05950855180964)","(33.700000000000003, 130.87975427590482, 34.128023283610588, 131.23926282771447)"
27,"(33.914011641805295, 131.23926282771447)","(33.700000000000003, 131.05950855180964, 34.128023283610588, 131.4190171036193)"
28,"(33.914011641805295, 131.4190171036193)","(33.700000000000003, 131.23926282771447, 34.128023283610588, 131.59877137952412)"
29,"(33.914011641805295, 131.59877137952412)","(33.700000000000003, 131.4190171036193, 34.128023283610588, 131.77852565542895)"
30,"(33.914011641805295, 131.77852565542895)","(33.700000000000003, 131.59877137952412, 34.128023283610588, 131.95827993133378)"
31,"(33.914011641805295, 131.95827993133378)","(33.700000000000003, 131.77852565542895, 34.128023283610588, 132.1380342072386)"
32,"(33.914011641805295, 132.1380342072386)","(33.700000000000003, 131.95827993133378, 34.128023283610588, 132.31778848314343)"
33,"(33.914011641805295, 132.31778848314343)","(33.700000000000003, 132.1380342072386, 34.128023283610588, 132.49754275904826)"
34,"(33.914011641805295, 132.49754275904826)","(33.700000000000003, 132.31778848314343, 34.128023283610588, 132.67729703495309)"
35,"(33.914011641805295, 132.67729703495309)","(33.700000000000003, 132.49754275904826, 34.128023283610588, 132.85705131085791)"
36,"(33.914011641805295, 132.85705131085791)","(33.700000000000003, 132.67729703495309, 34.128023283610588, 133.03680558676274)"
37,"(33.914011641805295, 133.03680558676274)","(33.700000000000003, 132.85705131085791, 34.128023283610588, 133.21655986266757)"
38,"(33.914011641805295, 133.21655986266757)","(33.700000000000003, 133.03680558676274, 34.128023283610588, 133.39631413857239)"
39,"(33.914011641805295, 133.39631413857239)","(33.700000000000003, 133.21655986266757, 34.128023283610588, 133.57606841447722)"
40,"(33.914011641805295, 133.57606841447722)","(33.700000000000003, 133.39631413857239, 34.128023283610588, 133.75582269038205)"
41,"(33.914011641805295, 133.75582269038205)","(33.700000000000003, 133.57606841447722, 34.128023283610588, 133.93557696628687)"
42,"(33.914011641805295, 133.93557696628687)","(33.700000000000003, 133.75582269038205, 34.128023283610588, 134.1153312421917)"
43,"(33.914011641805295, 134.1153312421917)","(33.700000000000003, 133.93557696628687, 34.128023283610588, 134.29508551809653)"
44,"(33.914011641805295, 134.29508551809653)","(33.700000000000003, 134.1153312421917, 34.128023283610588, 134.47483979400135)"
45,"(33.914011641805295, 134.47483979400135)","(33.700000000000003, 134.29508551809653, 34.128023283610588, 134.65459406990618)"
46,"(33.914011641805295, 134.65459406990618)","(33.700000000000003, 134.47483979400135, 34.128023283610588, 134.83434834581101)"
47,"(33.914011641805295, 134.83434834581101)","(33.700000000000003, 134.65459406990618, 34.128023283610588, 135.01410262171584)"
48,"(34.128023283610588, 130.69999999999999)","(33.914011641805295, 130.52024572409516, 34.342034925415881, 130.87975427590482)"
49,"(34.128023283610588, 130.87975427590482)","(33.914011641805295, 130.69999999999999, 34.342034925415881, 131.05950855180964)"
50,"(34.128023283610588, 131.05950855180964)","(33.914011641805295, 130.87975427590482, 34.342034925415881, 131.23926282771447)"
51,"(34.128023283610588, 131.23926282771447)","(33.914011641805295, 131.05950855180964, 34.342034925415881, 131.4190171036193)"
52,"(34.128023283610588, 131.4190171036193)","(33.914011641805295, 131.23926282771447, 34.342034925415881, 131.59877137952412)"
53,"(34.128023283610588, 131.59877137952412)","(33.914011641805295, 131.4190171036193, 34.342034925415881, 131.77852565542895)"
54,"(34.128023283610588, 131.77852565542895)","(33.914011641805295, 131.59877137952412, 34.342034925415881, 131.95827993133378)"
55,"(34.128023283610588, 131.95827993133378)","(33.914011641805295, 131.77852565542895, 34.342034925415881, 132.1380342072386)"
56,"(34.128023283610588, 132.1380342072386)","(33.914011641805295, 131.95827993133378, 34.342034925415881, 132.31778848314343)"
57,"(34.128023283610588, 132.31778848314343)","(33.914011641805295, 132.1380342072386, 34.342034925415881, 132.49754275904826)"
58,"(34.128023283610588, 132.49754275904826)","(33.914011641805295, 132.31778848314343, 34.342034925415881, 132.67729703495309)"
59,"(34.128023283610588, 132.67729703495309)","(33.914011641805295, 132.49754275904826, 34.342034925415881, 132.85705131085791)"
60,"(34.128023283610588, 132.85705131085791)","(33.914011641805295, 132.67729703495309, 34.342034925415881, 133.03680558676274)"
61,"(34.128023283610588, 133.03680558676274)","(33.914011641805295, 132.85705131085791, 34.342034925415881, 133.21655986266757)"
62,"(34.128023283610588, 133.21655986266757)","(33.914011641805295, 133.03680558676274, 34.342034925415881, 133.39631413857239)"
63,"(34.128023283610588, 133.39631413857239)","(33.914011641805295, 133.21655986266757, 34.342034925415881, 133.57606841447722)"
